#,Type 1,Total,Attack,Defense,Sp. Atk,Sp. Def
400,Normal,410,85,60,55,60
413,Bug,424,59,85,79,105
214,Bug,500,125,75,40,95
387,Grass,318,68,64,45,55
138,Rock,355,40,100,90,55
104,Ground,320,50,95,40,50
227,Steel,465,80,140,40,70
464,Ground,535,140,130,55,55
421,Grass,450,60,70,87,78
445,Dragon,600,130,95,80,85
433,Psychic,285,30,50,65,50
493,Normal,720,120,120,120,120
335,Normal,458,115,60,60,60
215,Dark,430,95,55,35,75
238,Ice,305,30,15,85,65
209,Fairy,300,80,50,40,40
666,Bug,411,52,50,90,50
677,Psychic,355,48,54,63,60
654,Fire,409,59,58,90,70
69,Grass,300,75,35,70,30
506,Normal,275,60,45,25,45
687,Dark,482,92,88,68,75
129,Water,200,10,55,15,20
151,Psychic,600,100,100,100,100
590,Grass,294,55,45,55,55
665,Bug,213,22,60,27,30
236,Fighting,210,35,35,35,35
422,Water,325,48,48,57,62
504,Normal,255,55,39,35,39
692,Water,330,53,62,58,63
304,Steel,330,70,100,40,40
1,Grass,318,49,49,65,65
511,Grass,316,53,48,53,48
180,Electric,365,55,55,80,60
33,Poison,365,72,57,55,55
55,Water,500,82,78,95,80
133,Normal,325,55,50,45,65
218,Fire,250,40,40,70,40
47,Bug,405,95,80,60,80
403,Electric,263,65,34,40,34
109,Poison,340,65,95,60,45
264,Normal,420,70,61,50,61
252,Grass,310,45,35,65,55
652,Grass,530,107,122,74,75
213,Bug,505,10,230,10,230
619,Fighting,350,85,50,55,50
284,Bug,414,60,62,80,82
435,Poison,479,93,67,71,61
2,Grass,405,62,63,80,80
246,Rock,300,64,50,45,50
703,Rock,500,50,150,50,150
152,Grass,318,49,65,49,65
576,Psychic,490,55,95,95,110
651,Grass,405,78,95,56,58
20,Normal,413,81,60,50,70
21,Normal,262,60,30,31,31
243,Electric,580,85,75,115,100
9,Water,530,83,100,85,105
327,Normal,360,60,60,60,60
309,Electric,295,45,40,65,40
65,Psychic,500,50,45,135,95
178,Psychic,470,75,70,95,70
37,Fire,299,41,40,50,65
657,Water,405,63,52,83,56
552,Ground,351,82,45,45,45
321,Water,500,90,45,90,45
217,Normal,500,130,75,75,75
541,Bug,380,63,90,50,80
658,Water,530,95,67,103,71
345,Rock,355,41,77,61,87
662,Fire,382,73,55,56,52
557,Bug,325,65,85,35,35
143,Normal,540,110,65,65,110
233,Normal,515,80,90,105,95
626,Normal,490,110,95,40,95
141,Rock,495,115,105,65,70
353,Ghost,295,75,35,63,33
358,Psychic,425,50,70,95,80
67,Fighting,405,100,70,50,60
469,Bug,515,76,86,116,56
49,Bug,450,65,60,90,75
206,Normal,415,70,70,65,65
51,Ground,405,80,50,50,70
519,Normal,264,55,50,36,30
595,Bug,319,47,50,57,50
346,Rock,495,81,97,81,107
646,Dragon,660,130,90,130,90
332,Grass,475,115,60,115,60
364,Ice,410,60,70,75,70
25,Electric,320,55,40,50,50
720,Psychic,600,110,60,150,130
566,Rock,401,112,45,74,45
575,Psychic,390,45,70,75,85
384,Dragon,680,150,90,150,90
62,Water,510,95,95,70,90
374,Steel,300,55,80,35,60
80,Water,490,75,110,100,80
668,Fire,507,68,72,109,66
15,Bug,395,90,40,45,80
572,Normal,300,50,40,40,40
74,Rock,300,80,100,30,30
3,Grass,525,82,83,100,100
365,Ice,530,80,90,95,90
529,Ground,328,85,40,30,45
667,Fire,369,50,58,73,54
270,Water,220,30,30,40,50
90,Water,305,65,100,45,25
633,Dark,300,65,50,45,50
106,Fighting,455,120,53,35,110
174,Normal,210,30,15,40,20
487,Ghost,680,100,120,100,120
342,Water,468,120,85,90,55
292,Bug,236,90,45,30,30
548,Grass,280,35,50,70,50
349,Water,200,15,20,10,55
380,Dragon,600,80,90,110,130
624,Dark,340,85,70,40,40
126,Fire,495,95,57,100,85
352,Normal,440,90,70,60,120
28,Ground,450,100,110,45,55
719,Rock,600,100,150,100,150
688,Rock,306,52,67,39,56
113,Normal,450,5,5,35,105
230,Water,540,95,95,95,95
408,Rock,350,125,40,30,30
420,Grass,275,35,45,62,53
294,Normal,360,71,43,71,43
587,Electric,428,75,60,75,60
425,Ghost,348,50,34,60,44
461,Dark,510,120,65,45,85
415,Bug,244,30,42,30,42
148,Dragon,420,84,65,70,70
223,Water,300,65,35,65,35
267,Bug,395,70,50,100,50
197,Dark,525,65,110,60,130
574,Psychic,290,30,50,55,65
169,Poison,535,90,80,70,80
357,Grass,460,68,83,72,87
184,Water,420,50,80,60,80
145,Electric,580,90,85,125,90
165,Bug,265,20,30,40,80
299,Rock,375,45,135,45,90
581,Water,473,87,63,87,63
362,Ice,480,80,80,80,80
603,Electric,405,85,70,75,70
663,Fire,499,81,71,74,69
59,Fire,555,110,80,100,80
691,Poison,494,75,90,97,123
120,Water,340,45,55,70,55
427,Normal,350,66,44,44,56
341,Water,308,80,65,50,35
319,Water,460,120,40,95,40
694,Electric,289,38,33,61,43
563,Ghost,483,50,145,95,105
477,Ghost,525,100,135,65,135
628,Normal,510,123,75,57,75
497,Grass,528,75,95,75,95
661,Normal,278,50,43,40,38
75,Rock,390,95,115,45,45
260,Water,535,110,90,85,90
216,Normal,330,80,50,50,50
631,Fire,484,97,66,105,66
717,Dark,680,131,95,131,98
531,Normal,445,60,86,60,86
82,Electric,465,60,95,120,70
205,Bug,465,90,140,60,60
261,Dark,220,55,35,30,30
12,Bug,395,45,50,90,80
702,Electric,431,58,57,81,67
479,Electric,440,50,77,95,77
50,Ground,265,55,25,35,45
121,Water,520,75,85,100,85
597,Grass,305,50,91,24,86
389,Grass,525,109,105,75,85
395,Water,530,86,88,111,101
525,Rock,390,105,105,50,40
424,Normal,482,100,66,60,66
537,Water,509,95,75,85,75
681,Steel,520,150,50,150,50
607,Ghost,275,30,55,65,55
670,Fairy,371,45,47,75,98
660,Normal,423,56,77,50,77
704,Dragon,300,50,35,55,75
383,Ground,670,150,140,100,90
486,Normal,670,160,110,80,110
63,Psychic,310,20,15,105,55
492,Grass,600,100,100,100,100
257,Fire,530,120,70,110,70
23,Poison,288,60,44,40,54
158,Water,314,65,64,44,48
530,Ground,508,135,60,50,65
222,Water,380,55,85,65,85
42,Poison,455,80,70,65,75
545,Bug,485,100,89,55,69
502,Water,413,75,60,83,60
68,Fighting,505,130,80,65,85
268,Bug,205,35,55,25,25
430,Dark,505,125,52,105,52
615,Ice,485,50,30,95,135
444,Dragon,410,90,65,50,55
318,Water,305,90,20,65,20
390,Fire,309,58,44,58,44
172,Electric,205,40,15,35,35
459,Grass,334,62,50,62,60
426,Ghost,498,80,44,90,54
559,Dark,348,75,70,35,70
368,Water,485,84,105,114,75
580,Water,305,44,50,44,50
649,Bug,600,120,95,120,95
61,Water,385,65,65,50,50
621,Dragon,485,120,90,60,90
258,Water,310,70,50,50,50
262,Dark,420,90,70,60,60
372,Dragon,420,95,100,60,50
672,Grass,350,65,48,62,57
632,Bug,484,109,112,48,48
507,Normal,370,80,65,35,65
625,Dark,490,125,100,60,70
70,Grass,390,90,50,85,45
328,Ground,290,100,45,45,45
653,Fire,307,45,40,62,60
671,Fairy,552,65,68,112,154
333,Normal,310,40,60,40,75
187,Grass,250,35,40,35,55
166,Bug,390,35,50,55,110
585,Normal,335,60,50,40,50
674,Fighting,348,82,62,46,48
196,Psychic,525,65,60,130,95
457,Water,460,69,76,69,86
697,Rock,521,121,119,69,59
64,Psychic,400,35,30,120,70
567,Rock,567,140,65,112,65
565,Water,495,108,133,83,65
111,Ground,345,85,95,30,30
560,Dark,488,90,115,45,115
226,Water,465,40,70,80,140
554,Fire,315,90,45,15,45
577,Psychic,290,30,40,105,50
